,4-cost+ Attack,CnC + Pummel,Estrike,A Blue,Two Blues,Three Blues,Four Blues,Hand Counts,Combinations,Percentage,Hands
0,True,True,True,False,False,False,False,12,330,0.10%,"Handset object with 12 distinct hands, and 330 hand combinations."
1,True,True,False,True,False,False,False,168,4180,1.37%,"Handset object with 168 distinct hands, and 4180 hand combinations."
2,True,True,False,False,False,False,False,54,990,0.44%,"Handset object with 54 distinct hands, and 990 hand combinations."
3,True,False,True,True,True,False,False,416,23199,3.38%,"Handset object with 416 distinct hands, and 23199 hand combinations."
4,True,False,True,True,False,False,False,364,17556,2.96%,"Handset object with 364 distinct hands, and 17556 hand combinations."
5,True,False,True,False,False,False,False,87,2849,0.71%,"Handset object with 87 distinct hands, and 2849 hand combinations."
6,True,False,False,True,True,True,False,2176,92796,17.70%,"Handset object with 2176 distinct hands, and 92796 hand combinations."
7,True,False,False,True,True,False,False,2288,100529,18.61%,"Handset object with 2288 distinct hands, and 100529 hand combinations."
8,True,False,False,True,False,False,False,854,30514,6.95%,"Handset object with 854 distinct hands, and 30514 hand combinations."
9,True,False,False,False,False,False,False,127,2816,1.03%,"Handset object with 127 distinct hands, and 2816 hand combinations."
10,False,True,True,True,False,False,False,42,1140,0.34%,"Handset object with 42 distinct hands, and 1140 hand combinations."
11,False,True,True,False,False,False,False,9,150,0.07%,"Handset object with 9 distinct hands, and 150 hand combinations."
12,False,True,False,True,True,False,False,312,7030,2.54%,"Handset object with 312 distinct hands, and 7030 hand combinations."
13,False,True,False,True,False,False,False,84,1520,0.68%,"Handset object with 84 distinct hands, and 1520 hand combinations."
14,False,True,False,False,False,False,False,8,65,0.07%,"Handset object with 8 distinct hands, and 65 hand combinations."
15,False,False,True,True,True,True,False,544,25308,4.43%,"Handset object with 544 distinct hands, and 25308 hand combinations."
16,False,False,True,True,True,False,False,416,18981,3.38%,"Handset object with 416 distinct hands, and 18981 hand combinations."
17,False,False,True,True,False,False,False,98,3002,0.80%,"Handset object with 98 distinct hands, and 3002 hand combinations."
18,False,False,True,False,False,False,False,9,110,0.07%,"Handset object with 9 distinct hands, and 110 hand combinations."
19,False,False,False,True,True,True,True,2236,73815,18.19%,"Handset object with 2236 distinct hands, and 73815 hand combinations."
20,False,False,False,True,True,True,False,1632,67488,13.28%,"Handset object with 1632 distinct hands, and 67488 hand combinations."
21,False,False,False,True,True,False,False,312,12654,2.54%,"Handset object with 312 distinct hands, and 12654 hand combinations."
22,False,False,False,True,False,False,False,42,608,0.34%,"Handset object with 42 distinct hands, and 608 hand combinations."
23,False,False,False,False,False,False,False,2,5,0.02%,"Handset object with 2 distinct hands, and 5 hand combinations."
