,Chokey or Spinal,Crip or Star,Sink Below,CnC + Pummel,Estrike,A Blue,Two Blues,Three Blues,Four Blues,Hand Counts,Combinations,Percentage
60,False,False,False,False,False,True,True,True,True,2236,73815,0.18190693133745525
61,False,False,False,False,False,True,True,True,False,1088,42180,0.08851285388870811
21,True,False,False,False,False,True,True,True,False,1088,42180,0.08851285388870811
37,False,True,False,False,False,True,True,True,False,1088,50616,0.08851285388870811
38,False,True,False,False,False,True,True,False,False,728,31635,0.05922551252847381
22,True,False,False,False,False,True,True,False,False,728,24605,0.05922551252847381
56,False,False,False,False,True,True,True,True,False,544,25308,0.044256426944354055
47,False,False,True,False,False,True,True,True,False,544,25308,0.044256426944354055
6,True,True,False,False,False,True,True,False,False,416,21090,0.033843150016270744
53,False,False,False,True,False,True,True,False,False,312,7030,0.02538236251220306
48,False,False,True,False,False,True,True,False,False,312,12654,0.02538236251220306
57,False,False,False,False,True,True,True,False,False,312,12654,0.02538236251220306
7,True,True,False,False,False,True,False,False,False,280,10830,0.022779043280182234
18,True,False,False,False,True,True,True,False,False,208,10545,0.016921575008135372
34,False,True,False,False,True,True,True,False,False,208,12654,0.016921575008135372
12,True,False,True,False,False,True,True,False,False,208,10545,0.016921575008135372
28,False,True,True,False,False,True,True,False,False,208,12654,0.016921575008135372
39,False,True,False,False,False,True,False,False,False,140,3610,0.011389521640091117
13,True,False,True,False,False,True,False,False,False,126,4560,0.010250569476082005
19,True,False,False,False,True,True,False,False,False,126,4560,0.010250569476082005
29,False,True,True,False,False,True,False,False,False,126,5814,0.010250569476082005
35,False,True,False,False,True,True,False,False,False,126,5814,0.010250569476082005
23,True,False,False,False,False,True,False,False,False,126,2280,0.010250569476082005
44,False,False,True,False,True,True,True,False,False,104,6327,0.008460787504067686
16,True,False,False,True,False,True,False,False,False,84,1900,0.00683371298405467
32,False,True,False,True,False,True,False,False,False,84,2280,0.00683371298405467
45,False,False,True,False,True,True,False,False,False,56,2394,0.004555808656036446
4,True,True,False,False,True,True,False,False,False,56,3420,0.004555808656036446
1,True,True,True,False,False,True,False,False,False,56,3420,0.004555808656036446
8,True,True,False,False,False,False,False,False,False,47,985,0.003823625122030589
42,False,False,True,True,False,True,False,False,False,42,1140,0.003416856492027335
54,False,False,False,True,False,True,False,False,False,42,380,0.003416856492027335
49,False,False,True,False,False,True,False,False,False,42,608,0.003416856492027335
51,False,False,False,True,True,True,False,False,False,42,1140,0.003416856492027335
58,False,False,False,False,True,True,False,False,False,42,608,0.003416856492027335
10,True,False,True,False,True,True,False,False,False,28,1710,0.002277904328018223
26,False,True,True,False,True,True,False,False,False,28,2052,0.002277904328018223
5,True,True,False,False,True,False,False,False,False,24,945,0.0019524894240156199
2,True,True,True,False,False,False,False,False,False,24,945,0.0019524894240156199
30,False,True,True,False,False,False,False,False,False,19,426,0.0015457207940123658
36,False,True,False,False,True,False,False,False,False,19,426,0.0015457207940123658
20,True,False,False,False,True,False,False,False,False,18,290,0.001464367068011715
14,True,False,True,False,False,False,False,False,False,18,290,0.001464367068011715
17,True,False,False,True,False,False,False,False,False,15,150,0.0012203058900097624
33,False,True,False,True,False,False,False,False,False,15,210,0.0012203058900097624
3,True,True,False,True,False,False,False,False,False,12,300,0.0009762447120078099
27,False,True,True,False,True,False,False,False,False,11,513,0.0008948909860071591
40,False,True,False,False,False,False,False,False,False,11,115,0.0008948909860071591
11,True,False,True,False,True,False,False,False,False,11,405,0.0008948909860071591
24,True,False,False,False,False,False,False,False,False,8,55,0.0006508298080052066
46,False,False,True,False,True,False,False,False,False,7,105,0.0005694760820045558
52,False,False,False,True,True,False,False,False,False,6,60,0.00048812235600390497
31,False,True,False,True,True,False,False,False,False,6,180,0.00048812235600390497
43,False,False,True,True,False,False,False,False,False,6,60,0.00048812235600390497
25,False,True,True,True,False,False,False,False,False,6,180,0.00048812235600390497
15,True,False,False,True,True,False,False,False,False,6,150,0.00048812235600390497
9,True,False,True,True,False,False,False,False,False,6,150,0.00048812235600390497
0,True,True,True,False,True,False,False,False,False,4,270,0.0003254149040026033
41,False,False,True,True,True,False,False,False,False,3,90,0.00024406117800195249
50,False,False,True,False,False,False,False,False,False,2,5,0.00016270745200130165
55,False,False,False,True,False,False,False,False,False,2,5,0.00016270745200130165
59,False,False,False,False,True,False,False,False,False,2,5,0.00016270745200130165
